from,to,type,dependency_category,reason,dependency_risk,criticality,replaceability,time_to_substitute,color,confidence,sources,fact_status,tags
us_ai_ecosystem,openai,contains,ecosystem_membership,openai is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,anthropic,contains,ecosystem_membership,anthropic is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,google_deepmind,contains,ecosystem_membership,google_deepmind is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,meta_ai,contains,ecosystem_membership,meta_ai is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,xai,contains,ecosystem_membership,xai is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,perplexity,contains,ecosystem_membership,perplexity is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,aws_bedrock,contains,ecosystem_membership,aws_bedrock is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,azure_openai_foundry,contains,ecosystem_membership,azure_openai_foundry is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,google_cloud_vertex,contains,ecosystem_membership,google_cloud_vertex is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,coreweave,contains,ecosystem_membership,coreweave is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,lambda_cloud,contains,ecosystem_membership,lambda_cloud is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,nvidia,contains,ecosystem_membership,nvidia is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,amd,contains,ecosystem_membership,amd is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,intel,contains,ecosystem_membership,intel is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,oracle_cloud_ai,contains,ecosystem_membership,oracle_cloud_ai is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
us_ai_ecosystem,ibm_watsonx,contains,ecosystem_membership,ibm_watsonx is part of the us_ai_ecosystem strategic AI ecosystem view.,1,4,5,medium,blue,medium,[],inferred,[]
