id,name,type,country,region,sector,strategic_role,description,sovereignty_score,criticality,market_importance,france_or_eu_fit,color,confidence,tags,sources,fact_status
eu_ai_stack,EU AI Stack,sector_view,EU,Europe,"[""AI""]",Top-level strategic view,"The first battlefield: EU AI companies, compute, cloud, chips, AI factories, software stack, regulation and opportunity signals.",3,5,5,5,blue,high,"[""EU_AI"", ""view""]","[""eu_ai_factories_policy""]",known
ai_compute,AI Compute,capability_layer,,Global,"[""AI infrastructure""]",Core compute layer,"GPU/HPC/accelerator capacity for training, fine-tuning and inference.",1,5,5,5,red,high,"[""compute"", ""bottleneck""]","[""eu_ai_factories_policy"", ""nvidia_data_center"", ""amd_mi300""]",known
gpu_accelerators,GPU / AI Accelerators,hardware_component,,Global,"[""chips"", ""AI infrastructure""]",Accelerator hardware layer,High-end AI chips and accelerators used for AI training/inference.,1,5,5,5,red,high,"[""chips"", ""compute"", ""bottleneck""]","[""nvidia_data_center"", ""amd_mi300"", ""intel_gaudi""]",known
ai_hpc_supercomputing,AI-Optimized HPC / Supercomputing,capability_layer,EU,Europe,"[""HPC"", ""AI infrastructure""]",Public compute infrastructure,EuroHPC AI Factories and supercomputers as public AI compute backbone.,4,5,5,5,green,high,"[""EuroHPC"", ""compute""]","[""eu_ai_factories_policy"", ""eurohpc_ai_factories"", ""eurohpc_ai_systems""]",known
cloud_native_ai_platform,Cloud-Native AI Platform Layer,software_platform,,Global,"[""AI infrastructure"", ""cloud""]",Usability/orchestration layer,"Kubernetes, serving, storage, registry and MLOps tooling that makes AI infrastructure usable.",2,5,5,5,orange,medium,"[""cloud_native"", ""tooling""]","[""kubernetes"", ""vllm"", ""cloud_hpc_divide_paper""]",known
model_distribution,Model Distribution / Registry,software_platform,,Global,"[""AI software supply chain""]",Model registry and distribution layer,"Platforms used to distribute, discover and reuse models/datasets.",2,4,5,4,orange,high,"[""model_hub"", ""supply_chain""]","[""huggingface"", ""mistral_hf"", ""hf_supply_chain_paper""]",known
llm_serving,LLM Serving Layer,software_platform,,Global,"[""AI infrastructure""]",Inference serving runtime,"Software for high-throughput, cost-efficient model serving.",2,5,5,5,orange,medium,"[""serving"", ""inference""]","[""vllm"", ""vllm_perf_paper""]",known
sovereign_cloud,Sovereign Cloud,capability_layer,EU,Europe,"[""cloud"", ""sovereignty""]",Sovereign infrastructure layer,"Cloud services designed around sovereignty, data residency and control.",3,5,5,5,orange,high,"[""cloud"", ""sovereignty""]","[""ovh_sovereign"", ""aws_sovereign"", ""microsoft_sovereign"", ""ionos_public_sector""]",known
data_centers,Data Centers,capability_layer,,Global,"[""data center"", ""AI infrastructure""]",Physical infrastructure layer,Facilities hosting compute/storage/networking for AI.,2,5,5,5,orange,high,"[""energy"", ""compute"", ""infra""]","[""eu_ai_gigafactories"", ""scaleway_gpu"", ""ovh_gpu""]",known
energy_power_capacity,Energy / Power Capacity,capability_layer,,Global,"[""energy"", ""AI infrastructure""]",Power bottleneck,"Electricity supply, grid connection, cooling and energy efficiency for AI compute facilities.",2,5,5,5,red,high,"[""energy"", ""bottleneck""]","[""eu_ai_gigafactories"", ""eu_ai_factories_policy""]",known
training_data,Training Data,capability_layer,,Global,"[""data"", ""AI""]",Data layer,"High-quality, compliant, domain-specific and multilingual training data.",3,5,5,5,orange,medium,"[""data"", ""language"", ""domain_data""]","[""eu_ai_gigafactories"", ""aleph_alpha"", ""owkin""]",known
ai_compliance,AI Compliance / Governance,capability_layer,EU,Europe,"[""regulation"", ""AI""]",Regulatory control layer,"Compliance, risk management and evidence tooling for AI Act / sector regulation.",3,5,5,5,blue,high,"[""AI_Act"", ""compliance""]","[""eu_ai_act""]",known
secure_ai_deployment,Secure AI Deployment,capability_layer,,Global,"[""security"", ""AI""]",Security and deployment layer,"Secure, auditable, controllable deployment of AI systems in regulated environments.",3,5,5,5,orange,medium,"[""security"", ""deployment""]","[""aleph_alpha"", ""lighton"", ""orange_lighton""]",known
semiconductor_manufacturing,Semiconductor Manufacturing,capability_layer,,Global,"[""chips""]",Chip supply chain layer,"Foundry, packaging and manufacturing layer behind AI accelerators.",1,5,5,5,red,high,"[""chips"", ""foundry"", ""bottleneck""]","[""tsmc"", ""asml"", ""eu_chips_act""]",known
european_ai_talent,European AI Talent,capability_layer,EU,Europe,"[""talent"", ""AI""]",Talent pool,"Researchers, engineers and operators across European universities, labs, startups and companies.",4,5,5,5,green,medium,"[""talent""]","[""eu_ai_factories_policy"", ""eurohpc_ai2f_press""]",known
european_commission,European Commission,government_agency,EU,Europe,"[""policy""]",EU executive body,"Policy and funding actor for EU AI, AI Factories, AI Gigafactories, AI Act, Chips Act.",5,5,5,5,blue,high,"[""policy"", ""EU""]","[""eu_ai_factories_policy"", ""eu_ai_act"", ""eu_chips_act"", ""eu_ai_gigafactories""]",known
eurohpc_ju,EuroHPC Joint Undertaking,government_agency,EU,Europe,"[""HPC"", ""AI infrastructure""]",EU HPC funding/operator body,Joint initiative coordinating European supercomputing and AI Factories.,5,5,5,5,blue,high,"[""EuroHPC""]","[""eurohpc_ai_factories""]",known
european_ai_office,European AI Office,government_agency,EU,Europe,"[""AI regulation""]",EU AI coordination body,Coordinates AI Act implementation and AI ecosystem actions.,5,4,4,4,blue,medium,"[""AI_Act""]","[""eu_ai_factories_policy"", ""eu_ai_act""]",known
ai_factories_network,EuroHPC AI Factories Network,funding_program,EU,Europe,"[""AI infrastructure"", ""HPC""]",AI compute/support network,"Network of AI Factories providing compute and support to European users, startups, SMEs and public authorities.",5,5,5,5,green,high,"[""AI_Factories"", ""compute""]","[""eu_ai_factories_policy"", ""eurohpc_ai_factories""]",known
investai_facility,InvestAI Facility,funding_program,EU,Europe,"[""AI infrastructure""]",AI gigafactory funding mechanism,European fund for up to five AI Gigafactories.,5,5,5,5,blue,high,"[""AI_Gigafactories""]","[""eu_ai_factories_policy"", ""eu_ai_gigafactories""]",known
ai_gigafactories,AI Gigafactories,capability_layer,EU,Europe,"[""AI infrastructure"", ""data center""]",Large-scale AI compute facilities,"Large-scale facilities for next-generation AI model training with advanced processors, power capacity, supply chains, networking and automation.",4,5,5,5,blue,high,"[""AI_Gigafactories"", ""compute""]","[""eu_ai_factories_policy"", ""eu_ai_gigafactories""]",known
eu_ai_act_node,EU AI Act,regulator,EU,Europe,"[""regulation""]",AI regulatory framework,EU comprehensive AI legal framework affecting AI deployment and compliance.,5,5,5,5,blue,high,"[""AI_Act"", ""regulation""]","[""eu_ai_act""]",known
eu_chips_act_node,European Chips Act,funding_program,EU,Europe,"[""chips"", ""policy""]",Semiconductor strategic policy,EU semiconductor resilience and industrial capacity framework.,5,5,5,5,blue,high,"[""chips"", ""EU_policy""]","[""eu_chips_act""]",known
france_2030,France 2030,funding_program,France,Europe,"[""industrial strategy"", ""funding""]",French strategic investment plan,French public investment program for strategic sectors and innovation.,5,5,5,5,blue,medium,"[""France"", ""funding""]","[""france2030""]",known
ai2f_france,AI2F — AI Factory France,funding_program,France,Europe,"[""AI infrastructure"", ""HPC""]",AI Factory,French AI Factory leveraging Alice Recoque and existing GENCI-owned infrastructures.,5,4,4,4,green,high,"[""AI_Factory"", ""EuroHPC""]","[""eurohpc_ai2f_press""]",known
lumi_aif,LUMI AI Factory,funding_program,Finland,Europe,"[""AI infrastructure"", ""HPC""]",AI Factory,AI Factory built around LUMI ecosystem.,5,4,4,3,green,high,"[""AI_Factory"", ""EuroHPC""]","[""eu_ai_factories_policy"", ""eurohpc_ai_systems""]",known
jaif_germany,JAIF — Jülich AI Factory,funding_program,Germany,Europe,"[""AI infrastructure"", ""HPC""]",AI Factory,German AI Factory associated with Jülich/JUPITER ecosystem.,5,4,4,3,green,high,"[""AI_Factory"", ""EuroHPC""]","[""eu_ai_factories_policy"", ""eurohpc_ai2f_press""]",known
