from,to,type,dependency_category,reason,dependency_risk,criticality,replaceability,time_to_substitute,color,confidence,sources,fact_status,tags
global_aerospace_stack,airframer_layer,contains,stack_layer,airframer_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,engine_propulsion_layer,contains,stack_layer,engine_propulsion_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,aerostructures_materials_layer,contains,stack_layer,aerostructures_materials_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,avionics_flight_systems_layer,contains,stack_layer,avionics_flight_systems_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,landing_gear_actuation_layer,contains,stack_layer,landing_gear_actuation_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,cabin_interiors_layer,contains,stack_layer,cabin_interiors_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,mro_aftermarket_layer,contains,stack_layer,mro_aftermarket_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,certification_regulation_layer,contains,stack_layer,certification_regulation_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,air_traffic_ops_layer,contains,stack_layer,air_traffic_ops_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,space_launch_layer,contains,stack_layer,space_launch_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,satellite_space_systems_layer,contains,stack_layer,satellite_space_systems_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,sustainable_aviation_layer,contains,stack_layer,sustainable_aviation_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
global_aerospace_stack,aerospace_software_data_layer,contains,stack_layer,aerospace_software_data_layer is a core layer of the global aerospace stack.,1,5,5,long,blue,high,[],inferred,[]
