from,to,type,dependency_category,reason,dependency_risk,criticality,replaceability,time_to_substitute,color,confidence,sources,fact_status,tags
industrial_software_ot_stack,cad_cam_layer,contains,stack_layer,cad_cam_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,cae_simulation_layer,contains,stack_layer,cae_simulation_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,plm_alm_mbse_layer,contains,stack_layer,plm_alm_mbse_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,mes_mom_layer,contains,stack_layer,mes_mom_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,scada_hmi_layer,contains,stack_layer,scada_hmi_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,plc_control_layer,contains,stack_layer,plc_control_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_connectivity_layer,contains,stack_layer,industrial_connectivity_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_dataops_layer,contains,stack_layer,industrial_dataops_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,digital_twin_layer,contains,stack_layer,digital_twin_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_ai_layer,contains,stack_layer,industrial_ai_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,ot_cybersecurity_layer,contains,stack_layer,ot_cybersecurity_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_cloud_edge_layer,contains,stack_layer,industrial_cloud_edge_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,erp_supply_chain_layer,contains,stack_layer,erp_supply_chain_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,maintenance_reliability_layer,contains,stack_layer,maintenance_reliability_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_standards_layer,contains,stack_layer,industrial_standards_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_frontline_layer,contains,stack_layer,industrial_frontline_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,industrial_lowcode_apps_layer,contains,stack_layer,industrial_lowcode_apps_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_software_ot_stack,quality_traceability_layer,contains,stack_layer,quality_traceability_layer is a core layer of the industrial software / OT stack.,1,5,5,long,blue,high,[],inferred,[]
industrial_standards_layer,opc_ua,contains,standard_architecture,"opc_ua is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],known,[]
industrial_standards_layer,mqtt_sparkplug,contains,standard_architecture,"mqtt_sparkplug is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],known,[]
industrial_standards_layer,isa_95,contains,standard_architecture,"isa_95 is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],inferred,[]
industrial_standards_layer,isa_iec_62443,contains,standard_architecture,"isa_iec_62443 is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],known,[]
industrial_standards_layer,unified_namespace,contains,standard_architecture,"unified_namespace is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],inferred,[]
industrial_standards_layer,digital_thread,contains,standard_architecture,"digital_thread is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],inferred,[]
industrial_standards_layer,industrial_ontology,contains,standard_architecture,"industrial_ontology is a standard or architecture pattern shaping industrial software interoperability, security or governance.",1,5,5,long,blue,high,[],inferred,[]
opc_ua,industrial_connectivity_layer,supplies_to,interoperability,"OPC UA provides platform-independent industrial interoperability, information modeling and secure machine-to-enterprise connectivity.",2,5,4,long,blue,high,"[""opcfoundation_opcua""]",known,[]
mqtt_sparkplug,unified_namespace,supports,industrial_messaging,MQTT Sparkplug supports standardized industrial MQTT topic/payload structures used in unified namespace architectures.,2,4,4,medium,blue,medium,"[""sparkplug"", ""unified_namespace""]",known,[]
isa_95,erp_supply_chain_layer,structures,ERP_MES_boundary,"ISA-95 structures enterprise-control integration across ERP, MES and control layers.",2,5,4,long,blue,medium,"[""isa95""]",known,[]
isa_iec_62443,ot_cybersecurity_layer,governs,OT_cybersecurity,ISA/IEC 62443 defines requirements/processes for industrial automation and control systems security.,2,5,4,long,blue,high,"[""isa_iec_62443""]",known,[]
siemens_xcelerator_node,cad_cam_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables cad_cam_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,cae_simulation_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables cae_simulation_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,plm_alm_mbse_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables plm_alm_mbse_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,mes_mom_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables mes_mom_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,plc_control_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,digital_twin_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables digital_twin_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,industrial_ai_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables industrial_ai_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,industrial_cloud_edge_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables industrial_cloud_edge_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,erp_supply_chain_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables erp_supply_chain_layer.,2,4,4,medium,blue,medium,[],inferred,[]
siemens_xcelerator_node,industrial_standards_layer,supplies_to,software_capability,siemens_xcelerator_node supplies or enables industrial_standards_layer.,2,4,4,medium,blue,medium,[],inferred,[]
dassault_3dexperience_node,cad_cam_layer,supplies_to,software_capability,dassault_3dexperience_node supplies or enables cad_cam_layer.,2,4,4,medium,blue,medium,[],inferred,[]
dassault_3dexperience_node,cae_simulation_layer,supplies_to,software_capability,dassault_3dexperience_node supplies or enables cae_simulation_layer.,2,4,4,medium,blue,medium,[],inferred,[]
dassault_3dexperience_node,plm_alm_mbse_layer,supplies_to,software_capability,dassault_3dexperience_node supplies or enables plm_alm_mbse_layer.,2,4,4,medium,blue,medium,[],inferred,[]
dassault_3dexperience_node,mes_mom_layer,supplies_to,software_capability,dassault_3dexperience_node supplies or enables mes_mom_layer.,2,4,4,medium,blue,medium,[],inferred,[]
dassault_3dexperience_node,digital_twin_layer,supplies_to,software_capability,dassault_3dexperience_node supplies or enables digital_twin_layer.,2,4,4,medium,blue,medium,[],inferred,[]
dassault_3dexperience_node,quality_traceability_layer,supplies_to,software_capability,dassault_3dexperience_node supplies or enables quality_traceability_layer.,2,4,4,medium,blue,medium,[],inferred,[]
ptc_node,plm_alm_mbse_layer,supplies_to,software_capability,ptc_node supplies or enables plm_alm_mbse_layer.,2,4,4,medium,blue,medium,[],inferred,[]
ptc_node,industrial_connectivity_layer,supplies_to,software_capability,ptc_node supplies or enables industrial_connectivity_layer.,2,4,4,medium,blue,medium,[],inferred,[]
ptc_node,industrial_cloud_edge_layer,supplies_to,software_capability,ptc_node supplies or enables industrial_cloud_edge_layer.,2,4,4,medium,blue,medium,[],inferred,[]
ptc_node,industrial_frontline_layer,supplies_to,software_capability,ptc_node supplies or enables industrial_frontline_layer.,2,4,4,medium,blue,medium,[],inferred,[]
ptc_node,industrial_standards_layer,supplies_to,software_capability,ptc_node supplies or enables industrial_standards_layer.,2,4,4,medium,blue,medium,[],inferred,[]
rockwell_factorytalk_node,mes_mom_layer,supplies_to,software_capability,rockwell_factorytalk_node supplies or enables mes_mom_layer.,2,4,4,medium,blue,medium,[],inferred,[]
rockwell_factorytalk_node,scada_hmi_layer,supplies_to,software_capability,rockwell_factorytalk_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
rockwell_factorytalk_node,plc_control_layer,supplies_to,software_capability,rockwell_factorytalk_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
rockwell_factorytalk_node,maintenance_reliability_layer,supplies_to,software_capability,rockwell_factorytalk_node supplies or enables maintenance_reliability_layer.,2,4,4,medium,blue,medium,[],inferred,[]
rockwell_factorytalk_node,industrial_ai_layer,supplies_to,software_capability,rockwell_factorytalk_node supplies or enables industrial_ai_layer.,2,4,4,medium,blue,medium,[],inferred,[]
rockwell_factorytalk_node,industrial_lowcode_apps_layer,supplies_to,software_capability,rockwell_factorytalk_node supplies or enables industrial_lowcode_apps_layer.,2,4,4,medium,blue,medium,[],inferred,[]
schneider_ecostruxure_node,scada_hmi_layer,supplies_to,software_capability,schneider_ecostruxure_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
schneider_ecostruxure_node,mes_mom_layer,supplies_to,software_capability,schneider_ecostruxure_node supplies or enables mes_mom_layer.,2,4,4,medium,blue,medium,[],inferred,[]
schneider_ecostruxure_node,industrial_cloud_edge_layer,supplies_to,software_capability,schneider_ecostruxure_node supplies or enables industrial_cloud_edge_layer.,2,4,4,medium,blue,medium,[],inferred,[]
schneider_ecostruxure_node,maintenance_reliability_layer,supplies_to,software_capability,schneider_ecostruxure_node supplies or enables maintenance_reliability_layer.,2,4,4,medium,blue,medium,[],inferred,[]
schneider_ecostruxure_node,factory_energy_visibility_gap,supplies_to,software_capability,schneider_ecostruxure_node supplies or enables factory_energy_visibility_gap.,2,4,4,medium,blue,medium,[],inferred,[]
abb_ability_node,plc_control_layer,supplies_to,software_capability,abb_ability_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
abb_ability_node,scada_hmi_layer,supplies_to,software_capability,abb_ability_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
abb_ability_node,industrial_ai_layer,supplies_to,software_capability,abb_ability_node supplies or enables industrial_ai_layer.,2,4,4,medium,blue,medium,[],inferred,[]
abb_ability_node,industrial_cloud_edge_layer,supplies_to,software_capability,abb_ability_node supplies or enables industrial_cloud_edge_layer.,2,4,4,medium,blue,medium,[],inferred,[]
abb_ability_node,maintenance_reliability_layer,supplies_to,software_capability,abb_ability_node supplies or enables maintenance_reliability_layer.,2,4,4,medium,blue,medium,[],inferred,[]
honeywell_forge_node,scada_hmi_layer,supplies_to,software_capability,honeywell_forge_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
honeywell_forge_node,industrial_ai_layer,supplies_to,software_capability,honeywell_forge_node supplies or enables industrial_ai_layer.,2,4,4,medium,blue,medium,[],inferred,[]
honeywell_forge_node,maintenance_reliability_layer,supplies_to,software_capability,honeywell_forge_node supplies or enables maintenance_reliability_layer.,2,4,4,medium,blue,medium,[],inferred,[]
honeywell_forge_node,industrial_dataops_layer,supplies_to,software_capability,honeywell_forge_node supplies or enables industrial_dataops_layer.,2,4,4,medium,blue,medium,[],inferred,[]
emerson_node,plc_control_layer,supplies_to,software_capability,emerson_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
emerson_node,scada_hmi_layer,supplies_to,software_capability,emerson_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
emerson_node,maintenance_reliability_layer,supplies_to,software_capability,emerson_node supplies or enables maintenance_reliability_layer.,2,4,4,medium,blue,medium,[],inferred,[]
emerson_node,industrial_dataops_layer,supplies_to,software_capability,emerson_node supplies or enables industrial_dataops_layer.,2,4,4,medium,blue,medium,[],inferred,[]
yokogawa_node,plc_control_layer,supplies_to,software_capability,yokogawa_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
yokogawa_node,scada_hmi_layer,supplies_to,software_capability,yokogawa_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
yokogawa_node,industrial_dataops_layer,supplies_to,software_capability,yokogawa_node supplies or enables industrial_dataops_layer.,2,4,4,medium,blue,medium,[],inferred,[]
beckhoff_node,plc_control_layer,supplies_to,software_capability,beckhoff_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
beckhoff_node,industrial_connectivity_layer,supplies_to,software_capability,beckhoff_node supplies or enables industrial_connectivity_layer.,2,4,4,medium,blue,medium,[],inferred,[]
bosch_rexroth_ctrlx_node,plc_control_layer,supplies_to,software_capability,bosch_rexroth_ctrlx_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
bosch_rexroth_ctrlx_node,industrial_connectivity_layer,supplies_to,software_capability,bosch_rexroth_ctrlx_node supplies or enables industrial_connectivity_layer.,2,4,4,medium,blue,medium,[],inferred,[]
bosch_rexroth_ctrlx_node,industrial_cloud_edge_layer,supplies_to,software_capability,bosch_rexroth_ctrlx_node supplies or enables industrial_cloud_edge_layer.,2,4,4,medium,blue,medium,[],inferred,[]
codesys_node,plc_control_layer,supplies_to,software_capability,codesys_node supplies or enables plc_control_layer.,2,4,4,medium,blue,medium,[],inferred,[]
inductive_ignition_node,scada_hmi_layer,supplies_to,software_capability,inductive_ignition_node supplies or enables scada_hmi_layer.,2,4,4,medium,blue,medium,[],inferred,[]
inductive_ignition_node,mes_mom_layer,supplies_to,software_capability,inductive_ignition_node supplies or enables mes_mom_layer.,2,4,4,medium,blue,medium,[],inferred,[]
inductive_ignition_node,industrial_lowcode_apps_layer,supplies_to,software_capability,inductive_ignition_node supplies or enables industrial_lowcode_apps_layer.,2,4,4,medium,blue,medium,[],inferred,[]
inductive_ignition_node,industrial_connectivity_layer,supplies_to,software_capability,inductive_ignition_node supplies or enables industrial_connectivity_layer.,2,4,4,medium,blue,medium,[],inferred,[]
kepware_node,industrial_connectivity_layer,supplies_to,software_capability,kepware_node supplies or enables industrial_connectivity_layer.,2,4,4,medium,blue,medium,[],inferred,[]
autodesk_fusion_node,cad_cam_layer,supplies_to,software_capability,autodesk_fusion_node supplies or enables cad_cam_layer.,2,4,4,medium,blue,medium,[],inferred,[]
autodesk_fusion_node,cae_simulation_layer,supplies_to,software_capability,autodesk_fusion_node supplies or enables cae_simulation_layer.,2,4,4,medium,blue,medium,[],inferred,[]
hexagon_node,cad_cam_layer,supplies_to,software_capability,hexagon_node supplies or enables cad_cam_layer.,2,4,4,medium,blue,medium,[],inferred,[]
hexagon_node,cae_simulation_layer,supplies_to,software_capability,hexagon_node supplies or enables cae_simulation_layer.,2,4,4,medium,blue,medium,[],inferred,[]
