id,title,type,score,reason,affected_nodes,dependency_types,buyer_types,criticality,dependency_risk,market_importance,urgency,accessibility,france_fit,eu_fit,incumbent_strength,regulatory_friction,capital_intensity,confidence,sources
opp_global_gpu_broker,Global GPU capacity intelligence and allocation broker,Infrastructure + data/visibility,68.3,"The global model and AI cloud stack is bottlenecked by accelerator availability, data-center capacity and power. A broker/observability layer can help startups, enterprises and investors locate capacity and plan cost/risk.","[""gpu_compute_layer"", ""coreweave"", ""lambda_cloud"", ""nebius"", ""nvidia"", ""amd"", ""ai_data_center_energy_layer""]","[""GPU"", ""capacity"", ""pricing"", ""availability""]","[""AI startups"", ""enterprises"", ""VC portfolios"", ""cloud buyers"", ""public agencies""]",5,5,5,5,4,5,5,4,2,3,high,"[""coreweave"", ""nvidia_datacenter"", ""amd_mi300""]"
opp_model_router_sovereignty,"Model router with sovereignty, latency, cost and compliance policies",Tooling + compliance,69.6,"Enterprises now have many models across OpenAI, Anthropic, Gemini, Grok, Qwen, Mistral, Cohere and others. A policy-aware router can optimize quality, cost, data residency, latency and regulatory constraints.","[""openai"", ""anthropic"", ""google_deepmind"", ""mistral_ai"", ""cohere"", ""alibaba_qwen"", ""ai_cloud_platform_layer"", ""ai_safety_governance_layer""]","[""model_routing"", ""compliance"", ""FinOps""]","[""regulated enterprises"", ""AI SaaS"", ""public sector"", ""AI platforms""]",5,4,5,5,5,5,5,4,3,1,high,"[""openai_business"", ""anthropic_claude"", ""google_vertex_gemini"", ""mistral"", ""cohere"", ""qwen"", ""eu_ai_act""]"
opp_ai_supply_chain_risk_os,"AI supply-chain risk OS for models, data and dependencies",Security + data/visibility,70.9,"Open models, closed APIs, model hubs and enterprise integrations create a new AI supply chain. Buyers need provenance, license, safety, source and dependency visibility.","[""model_distribution_layer"", ""hugging_face"", ""ai_safety_governance_layer"", ""training_data_layer"", ""enterprise_buyer_layer""]","[""model_supply_chain"", ""data_rights"", ""security""]","[""enterprises"", ""model hubs"", ""governments"", ""auditors"", ""VC due diligence""]",5,4,5,5,5,5,5,3,3,1,high,"[""huggingface"", ""perplexity_enterprise"", ""eu_ai_act""]"
opp_eu_ai_stack_comparison_dashboard,Europe-vs-world AI strategic comparison dashboard,Data/visibility,56.2,"The global graph reveals Europe’s strengths and weaknesses against the US, China and Middle East: regulation, ASML, Mistral, AI Factories vs compute/chip/cloud exposure. This can become a paid intelligence product.","[""eu_ai_ecosystem"", ""us_ai_ecosystem"", ""china_ai_ecosystem"", ""middle_east_ai_ecosystem"", ""gpu_compute_layer"", ""chip_supply_chain_layer""]","[""market_intelligence"", ""sovereignty"", ""dependency_graph""]","[""VCs"", ""corporates"", ""public agencies"", ""founders"", ""defense-adjacent actors""]",5,4,4,5,5,5,5,3,2,1,high,"[""eu_ai_factories"", ""eu_chips_act"", ""openai_business"", ""qwen"", ""deepseek"", ""humain_reuters""]"
opp_ai_inference_finops,AI inference FinOps and observability layer,Infrastructure + operational efficiency,70.9,"Inference will dominate costs as AI moves from training demos into production. A cross-model observability layer can monitor cost, latency, quality, safety and usage across providers.","[""ai_serving_inference_layer"", ""vllm"", ""triton_inference"", ""aws_bedrock"", ""azure_openai_foundry"", ""google_cloud_vertex"", ""coreweave""]","[""inference"", ""FinOps"", ""observability""]","[""AI SaaS"", ""enterprises"", ""platform teams"", ""cloud providers""]",5,4,5,5,5,5,5,4,2,1,high,"[""aws_bedrock"", ""azure_openai"", ""google_vertex_gemini"", ""vllm""]"
opp_ai_data_center_energy_intel,AI data-center energy and grid intelligence,Infrastructure + data/visibility,20.4,"Data center power and cooling is becoming a strategic bottleneck. Software that maps grid capacity, cooling options, renewables, permits and AI workload demand can serve cloud, real estate and public-sector buyers.","[""ai_data_center_energy_layer"", ""coreweave"", ""crusoe"", ""humain"", ""g42"", ""ai_cloud_platform_layer""]","[""energy"", ""data_center"", ""permitting"", ""cooling""]","[""data center operators"", ""cloud providers"", ""utilities"", ""public agencies"", ""infrastructure funds""]",5,5,5,5,3,4,4,5,4,4,medium,"[""coreweave"", ""crusoe"", ""humain_reuters"", ""g42""]"
opp_multilingual_public_sector_models,Multilingual public-sector AI deployment kit,Tooling + compliance,20.2,"Europe and the Middle East both have multilingual/public-sector needs. The gap is not only models, but deployment, evaluation, audit, retrieval, translation and data controls.","[""mistral_ai"", ""cohere"", ""alibaba_qwen"", ""humain"", ""ai_safety_governance_layer"", ""training_data_layer""]","[""language"", ""public_sector"", ""compliance"", ""deployment""]","[""public sector"", ""local governments"", ""regulated enterprises"", ""education"", ""healthcare""]",4,4,5,4,4,5,5,3,4,2,medium,"[""mistral"", ""cohere"", ""qwen"", ""humain_reuters"", ""eu_ai_act""]"
opp_ai_procurement_due_diligence,AI procurement due-diligence engine,Compliance/trust + data/visibility,70.9,"Every enterprise choosing AI models/cloud is now making dependency, privacy, cost and regulatory bets. A due-diligence engine can score providers and architecture choices against real dependency graph logic.","[""enterprise_buyer_layer"", ""ai_cloud_platform_layer"", ""ai_safety_governance_layer"", ""chip_supply_chain_layer"", ""training_data_layer""]","[""procurement"", ""risk"", ""compliance"", ""vendor_selection""]","[""enterprise procurement"", ""CISOs"", ""public sector"", ""VCs"", ""consultancies""]",5,4,5,5,5,5,5,3,3,1,high,"[""aws_bedrock"", ""azure_openai"", ""perplexity_enterprise"", ""eu_ai_act""]"
opp_open_weight_enterprise_runtime,Enterprise runtime for open-weight models,Tooling + infrastructure,38.1,"Open-weight models from Meta/Llama, DeepSeek, Qwen and Mistral create demand for secure deployment, quantization, serving, monitoring and governance in enterprises.","[""meta_ai"", ""deepseek"", ""alibaba_qwen"", ""mistral_ai"", ""vllm"", ""kubernetes"", ""ai_safety_governance_layer""]","[""open_weight"", ""serving"", ""MLOps"", ""security""]","[""enterprises"", ""AI SaaS"", ""sovereign cloud providers"", ""public sector""]",5,4,5,5,4,5,5,4,3,2,medium,"[""qwen"", ""deepseek"", ""mistral"", ""vllm"", ""kubernetes""]"
opp_hbm_substitution_intel,HBM / memory supply risk intelligence,Data/visibility + substitution,10.9,"AI accelerators depend on high-bandwidth memory and advanced packaging. Buyers and governments need visibility into memory constraints, supplier concentration and substitution timelines.","[""sk_hynix"", ""samsung_semiconductor"", ""micron"", ""nvidia"", ""amd"", ""chip_supply_chain_layer""]","[""HBM"", ""memory"", ""chip_supply_chain""]","[""cloud providers"", ""governments"", ""chip buyers"", ""infrastructure funds""]",5,5,4,4,3,4,4,4,3,3,medium,"[""nvidia_datacenter"", ""amd_mi300"", ""eu_chips_act""]"
