id,title,type,score,reason,affected_nodes,dependency_types,buyer_types,criticality,dependency_risk,market_importance,urgency,accessibility,france_fit,eu_fit,incumbent_strength,regulatory_friction,capital_intensity,confidence,sources
opp_aero_supplier_risk_graph,Aerospace supplier dependency and quality-risk graph,Data/visibility,88.8,"OEMs and Tier-1s are exposed to multi-tier supplier delays, quality escapes and traceability gaps. A graph-based supplier-risk system can map bottlenecks, certifications, lead times and capacity.","[""aerospace_supply_chain_visibility_layer"", ""quality_escape_risk"", ""airbus"", ""boeing"", ""spirit_aerosystems"", ""safran_group""]","[""supply_chain"", ""quality"", ""traceability""]","[""OEMs"", ""Tier-1s"", ""MROs"", ""lessors"", ""insurers""]",5,5,5,5,5,5,5,4,4,1,high,"[""airbus_commercial"", ""boeing_commercial"", ""easa"", ""faa""]"
opp_certification_evidence_os,Certification evidence OS for aerospace software and hardware,Compliance/trust,67.5,"Certification is a structural bottleneck. A tool that manages evidence, requirements, traceability, testing artifacts and regulator-ready packages can serve OEMs, suppliers and startups.","[""certification_bottleneck"", ""certification_regulation_layer"", ""easa"", ""faa"", ""avionics_flight_systems_layer""]","[""certification"", ""evidence"", ""traceability"", ""software_assurance""]","[""OEMs"", ""Tier-1s"", ""aerospace startups"", ""certification consultants""]",5,4,5,5,5,5,5,4,5,1,high,"[""easa"", ""faa"", ""icao""]"
opp_engine_mro_capacity_os,Engine MRO capacity and parts intelligence platform,Operational efficiency + data/visibility,67.5,"Engine MRO capacity and spare parts are red bottlenecks for airline uptime. A platform can forecast shop visits, parts constraints, slot availability and fleet readiness.","[""engine_mro_capacity"", ""mro_aftermarket_layer"", ""ge_aerospace"", ""rolls_royce"", ""cfm_international"", ""air_traffic_ops_layer""]","[""MRO"", ""engines"", ""parts"", ""forecasting""]","[""airlines"", ""lessors"", ""engine shops"", ""OEM services"", ""MRO providers""]",5,5,5,5,4,5,5,4,4,2,high,"[""ge_aerospace_commercial"", ""rolls_royce_civil"", ""boeing_services""]"
opp_aerospace_finops_spares,Aerospace spares and aftermarket FinOps,Operational efficiency,29.8,"Aftermarket costs, parts scarcity and fleet availability drive airline economics. A spend/availability intelligence layer can optimize spares, repair decisions and contracts.","[""mro_aftermarket_layer"", ""engine_mro_capacity"", ""boeing_services"", ""honeywell_aerospace"", ""safran_group""]","[""aftermarket"", ""spares"", ""contracts"", ""fleet_availability""]","[""airlines"", ""MROs"", ""lessors"", ""fleet operators""]",4,4,5,4,5,5,5,4,3,1,medium,"[""boeing_services"", ""honeywell_aerospace"", ""safran_aerospace""]"
opp_avionics_cyber_assurance,Avionics and connected-aircraft cyber assurance layer,Security + compliance,38.5,"Aircraft, satcom, MRO and airline systems are increasingly connected. A cyber assurance layer for aviation software, connectivity, maintenance data and vendor risk has strong B2B value.","[""aviation_cyber_risk"", ""aerospace_software_data_layer"", ""honeywell_aerospace"", ""sita"", ""satcom_direct"", ""thales_aerospace""]","[""cybersecurity"", ""connected_aircraft"", ""software_assurance""]","[""airlines"", ""OEMs"", ""business aviation"", ""MROs"", ""airports""]",5,4,5,5,4,5,5,4,4,1,medium,"[""honeywell_aerospace"", ""sita"", ""satcom_direct"", ""thales_avionics""]"
opp_saf_procurement_traceability,SAF procurement and traceability platform,Sustainability + data/visibility,51.0,"SAF adoption depends on supply availability, certification, carbon accounting and logistics. A platform can help airlines, airports and corporates manage SAF claims and procurement.","[""saf_supply_constraint"", ""sustainable_aviation_layer"", ""airbus"", ""iata"", ""air_traffic_ops_layer""]","[""SAF"", ""carbon_accounting"", ""procurement"", ""traceability""]","[""airlines"", ""airports"", ""corporates"", ""fuel suppliers""]",5,4,5,5,5,5,5,4,4,1,medium,"[""airbus_commercial"", ""iata""]"
opp_airspace_disruption_intel,Airspace disruption and airline operations intelligence,Data/visibility + operations,29.8,"Congestion, weather, airspace constraints and airport capacity affect airline economics. A real-time operational intelligence layer can serve dispatch, network planning and risk teams.","[""airspace_capacity_constraint"", ""air_traffic_ops_layer"", ""eurocontrol"", ""iata"", ""flightradar24"", ""sita""]","[""ATM"", ""flight_ops"", ""disruption"", ""data""]","[""airlines"", ""airports"", ""insurers"", ""travel platforms""]",4,4,5,4,5,4,5,4,3,1,medium,"[""eurocontrol"", ""iata"", ""flightradar24"", ""sita""]"
opp_space_launch_market_map,Launch access and satellite deployment intelligence,Data/visibility,28.6,"Satellite operators depend on launch cadence, pricing, range access and mission integration. A launch market intelligence tool can help satellite builders and operators plan deployment paths.","[""space_launch_layer"", ""launch_cadence_constraint"", ""spacex"", ""arianespace"", ""rocket_lab"", ""blue_origin""]","[""launch"", ""space_logistics"", ""capacity""]","[""satellite operators"", ""space startups"", ""insurers"", ""governments""]",5,4,4,5,4,5,5,3,4,2,medium,"[""spacex"", ""arianespace"", ""rocket_lab"", ""blue_origin""]"
opp_space_ground_segment_ops,Ground segment and satellite operations observability,Infrastructure + operational efficiency,13.0,"Satellite constellations need ground segment, anomaly detection, network operations and data routing. A software layer can serve operators without building satellites.","[""satellite_space_systems_layer"", ""eutelsat"", ""ses"", ""intelsat"", ""thales_alenia_space"", ""aerospace_software_data_layer""]","[""satellite_ops"", ""ground_segment"", ""observability""]","[""satellite operators"", ""space primes"", ""government agencies""]",4,4,4,4,4,5,5,4,4,2,medium,"[""eutelsat"", ""ses"", ""intelsat"", ""thales_alenia_space""]"
opp_aviation_digital_thread,Digital thread for aerospace SMEs and suppliers,Industrial software,70.0,"Aerospace suppliers struggle with requirements, changes, quality documents, configuration and traceability. A lightweight digital-thread tool can target SMEs below PLM giants.","[""aerospace_software_data_layer"", ""aerospace_supply_chain_visibility_layer"", ""quality_escape_risk"", ""certification_bottleneck""]","[""PLM"", ""requirements"", ""configuration"", ""traceability""]","[""aerospace SMEs"", ""Tier-2 suppliers"", ""certification teams""]",5,4,5,5,5,5,5,4,3,1,high,"[""easa"", ""faa"", ""airbus_commercial""]"
