from,to,type,dependency_category,reason,dependency_risk,criticality,replaceability,time_to_substitute,color,confidence,sources,fact_status,tags
european_defence_stack,policy_funding_layer,contains,policy,policy_funding_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,defence_prime_layer,contains,primes,defence_prime_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,land_systems_layer,contains,land,land_systems_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,air_combat_layer,contains,air,air_combat_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,naval_systems_layer,contains,naval,naval_systems_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,missiles_air_defence_layer,contains,missiles,missiles_air_defence_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,c4isr_sensors_layer,contains,C4ISR,c4isr_sensors_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,cyber_ew_layer,contains,cyber_EW,cyber_ew_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,space_secure_connectivity_layer,contains,space,space_secure_connectivity_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,drones_autonomy_layer,contains,drones,drones_autonomy_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,ammo_energetics_layer,contains,ammunition,ammo_energetics_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,industrial_supply_chain_layer,contains,supply_chain,industrial_supply_chain_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,simulation_training_layer,contains,simulation,simulation_training_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
european_defence_stack,defence_ai_software_layer,contains,AI_software,defence_ai_software_layer is a core layer of the European Defence Stack.,1,5,5,long,blue,high,[],inferred,[]
policy_funding_layer,edis,contains,policy_funding,edis is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,edf,contains,policy_funding,edf is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,edip,contains,policy_funding,edip is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,eudis,contains,policy_funding,eudis is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,eda,contains,policy_funding,eda is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,card,contains,policy_funding,card is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,pesco,contains,policy_funding,pesco is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,occar,contains,policy_funding,occar is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,nato_diana,contains,policy_funding,nato_diana is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,france_dga,contains,policy_funding,france_dga is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,aid_france,contains,policy_funding,aid_france is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
policy_funding_layer,france_2030,contains,policy_funding,france_2030 is a policy/funding/procurement or coordination node shaping European defence demand.,1,4,5,long,blue,medium,[],inferred,[]
dg_defis,edis,owns_or_coordinates,strategy,DG DEFIS manages Commission defence industry and space activity; EDIS is the EU defence industrial strategy.,1,5,5,long,blue,high,"[""edis""]",known,[]
