id,title,type,score,reason,affected_nodes,dependency_types,buyer_types,criticality,dependency_risk,market_importance,urgency,accessibility,france_fit,eu_fit,incumbent_strength,regulatory_friction,capital_intensity,confidence,sources
opp_defence_supplier_visibility,European defence supplier dependency intelligence platform,Data/visibility,91.2,"EDIS pushes industrial readiness, but the supply base is fragmented. A structured dependency graph for suppliers, bottlenecks, capabilities and national/EU fit can serve primes, investors and public agencies.","[""supply_chain_visibility_gap"", ""industrial_supply_chain_layer"", ""defence_prime_layer"", ""edis"", ""card""]","[""supply_chain"", ""procurement"", ""industrial_readiness""]","[""defence primes"", ""VCs"", ""public agencies"", ""industrial groups""]",5,5,5,5,5,5,5,3,3,1,high,"[""edis"", ""card""]"
opp_edf_edip_sme_workspace,EDF / EDIP proposal and consortium workspace for SMEs,Compliance + integration,41.2,"EDF/EUDIS/EDIP opportunities are hard for SMEs to navigate. A workspace that matches capabilities, partners, eligibility, calls and documentation can lower barriers into defence innovation.","[""edf"", ""eudis"", ""edip"", ""classified_compliance_export_control"", ""defence_procurement_data""]","[""funding"", ""consortium"", ""compliance""]","[""SMEs"", ""dual-use startups"", ""regional clusters"", ""consultancies""]",4,4,4,5,5,5,5,3,4,1,high,"[""edf"", ""eudis"", ""edip""]"
opp_cuas_critical_infra_console,Counter-UAS command and evidence console for critical infrastructure,Defense-adjacent + security software,37.3,"Drone threats are rising across military and civilian critical sites. A software layer for detection evidence, incident workflow, integration and compliance can avoid building weapons while serving real demand.","[""counter_uas_capability"", ""drones_autonomy_layer"", ""sentrycs"", ""hensoldt"", ""thales""]","[""counter_UAS"", ""critical_infrastructure"", ""C2""]","[""airports"", ""energy sites"", ""stadiums"", ""ports"", ""public security"", ""defence bases""]",5,4,5,5,4,5,5,4,4,2,medium,"[""sentrycs"", ""edis""]"
opp_secure_combat_cloud_connectors,Secure combat-cloud connector layer for European defence systems,Infrastructure + integration,31.7,"Airbus and European air-combat concepts point toward multi-domain combat cloud and interoperable C2. The gap is not only platforms; it is secure connectors, schemas, adapters and audit layers.","[""fcas_scaf"", ""battle_management"", ""secure_cloud_edge_compute"", ""airbus_defence_space"", ""thales"", ""indra""]","[""C2"", ""combat_cloud"", ""interoperability"", ""secure_compute""]","[""primes"", ""system integrators"", ""defence agencies"", ""NATO/EU programmes""]",5,5,5,5,3,5,5,5,5,2,medium,"[""airbus_defence"", ""edf""]"
opp_defence_export_control_os,Defence export-control and classified-compliance OS,Compliance/trust,67.5,"European defence/dual-use companies face export controls, classified handling, cybersecurity and procurement eligibility. A software OS for compliance evidence and workflows is accessible and B2B-heavy.","[""classified_compliance_export_control"", ""defence_prime_layer"", ""eudis"", ""france_dga"", ""aid_france""]","[""export_control"", ""classification"", ""compliance""]","[""dual-use startups"", ""defence suppliers"", ""SMEs"", ""primes""]",5,4,5,5,5,5,5,4,5,1,high,"[""edis"", ""edf""]"
opp_ammo_supply_chain_ops,Ammunition and energetics supply-chain observability,Industrial software + data/visibility,30.4,"Ammunition/energetics is a red bottleneck. A non-weapon software layer for capacity, supplier risk, lead times, materials and production readiness can support primes and ministries.","[""ammo_energetics_layer"", ""energetics_dependency"", ""rheinmetall"", ""mbda"", ""diehl_defence"", ""critical_raw_materials""]","[""ammunition"", ""energetics"", ""supply_chain"", ""industrial_ops""]","[""primes"", ""ministries"", ""industrial planners"", ""investors""]",5,5,5,5,3,5,5,5,5,3,medium,"[""edis"", ""edf"", ""mbda"", ""rheinmetall_defence""]"
opp_defence_readiness_maintenance,Fleet readiness and predictive maintenance platform for defence assets,Operational efficiency,17.4,"European forces need higher readiness from existing assets. Maintenance data, spares visibility, lifecycle support and predictive alerts are software-accessible compared with building platforms.","[""land_systems_layer"", ""air_combat_layer"", ""naval_systems_layer"", ""patria"", ""airbus_defence_space"", ""naval_group""]","[""maintenance"", ""readiness"", ""lifecycle""]","[""armed forces"", ""primes"", ""MRO providers"", ""fleet operators""]",5,3,5,4,4,5,5,4,4,2,medium,"[""edis"", ""airbus_defence"", ""patria"", ""naval_group""]"
opp_space_isr_tasking_layer,Space ISR tasking and fusion layer for maritime/security users,Data/visibility + defense-adjacent,14.2,"Europe has space ISR actors and secure connectivity programmes. A layer for tasking, fusing and delivering maritime/geospatial intelligence can serve public security and defence-adjacent users.","[""space_secure_connectivity_layer"", ""unseenlabs"", ""safran_ai_preligens"", ""iris2"", ""govsatcom"", ""galileo_prs_capability""]","[""space_ISR"", ""maritime"", ""data_fusion""]","[""navies"", ""coast guards"", ""ports"", ""insurers"", ""maritime security""]",4,4,4,4,4,5,5,3,4,2,medium,"[""unseenlabs"", ""preligens"", ""iris2"", ""govsatcom""]"
opp_simulation_synthetic_training,Synthetic training and mission rehearsal toolkit for European SMEs,Simulation + tooling,7.9,"EDF highlights simulation, multi-domain operations and critical technologies. SMEs/primes need reusable simulation/training components without rebuilding bespoke environments every time.","[""simulation_training_layer"", ""defence_ai_software_layer"", ""edf"", ""indra"", ""airbus_defence_space""]","[""simulation"", ""training"", ""digital_twin""]","[""SMEs"", ""primes"", ""training centers"", ""defence agencies""]",4,3,4,4,4,5,5,4,3,2,medium,"[""edf"", ""indra"", ""airbus_defence""]"
opp_defence_procurement_radar,Defence procurement radar for founders and investors,Data/visibility,42.5,"Defence opportunities are scattered across EU, national, NATO and prime channels. A radar that tracks calls, tenders, capability gaps, supplier needs and fit scores can help founders position intelligently.","[""defence_procurement_data"", ""edf"", ""edip"", ""eudis"", ""france_dga"", ""nato_diana""]","[""procurement"", ""tenders"", ""funding"", ""market_intelligence""]","[""founders"", ""VCs"", ""SMEs"", ""consultancies""]",4,4,4,5,5,5,5,3,3,1,high,"[""edf"", ""eudis"", ""nato_diana"", ""france_dga""]"
