id,title,type,score,reason,affected_nodes,dependency_types,buyer_types,criticality,dependency_risk,market_importance,urgency,accessibility,france_fit,eu_fit,incumbent_strength,regulatory_friction,capital_intensity,confidence,sources
opp_industrial_graph_os,Industrial dependency graph OS for factories and critical suppliers,Data/visibility,90.0,"Every database so far points back to supplier visibility, digital thread, OT assets and bottlenecks. A graph OS that maps machines, suppliers, software, OT assets, data flows, compliance and production dependencies can serve aerospace, defence, energy and manufacturing.","[""industrial_software_ot_stack"", ""aerospace_supply_chain_visibility_layer"", ""european_defence_stack_ref"", ""brownfield_integration_gap"", ""industrial_data_quality_gap""]","[""dependency_graph"", ""supplier_visibility"", ""OT_assets""]","[""industrial groups"", ""defence suppliers"", ""aerospace SMEs"", ""VCs"", ""public agencies""]",5,5,5,5,5,5,5,4,3,1,high,"[""siemens_xcelerator"", ""dassault_3dexperience"", ""ptc_products""]"
opp_iec62443_evidence_ci,IEC 62443 continuous evidence and patch-status platform,Compliance/trust,87.5,"ISA/IEC 62443 creates continuous evidence needs around IACS security. A lightweight platform can track assets, zones/conduits, patch state, vendor SBOMs, controls and audit evidence across OT environments.","[""isa_iec_62443"", ""industrial_security_compliance_gap"", ""ot_cybersecurity_layer"", ""claroty_node"", ""dragos_node"", ""nozomi_node""]","[""IEC62443"", ""OT_security"", ""compliance"", ""evidence""]","[""manufacturers"", ""critical infrastructure"", ""integrators"", ""defence suppliers"", ""auditors""]",5,5,5,5,5,5,5,4,5,1,high,"[""isa_iec_62443""]"
opp_uns_builder,Unified Namespace builder and data-quality monitor,Infrastructure + DataOps,91.2,"Factories need contextual OT data before AI or analytics can work. A UNS builder that validates MQTT/Sparkplug/OPC UA streams, naming, units, lineage and missing metadata attacks a real bottleneck.","[""unified_namespace"", ""mqtt_sparkplug"", ""opc_ua"", ""industrial_dataops_layer"", ""industrial_data_quality_gap""]","[""UNS"", ""MQTT"", ""OPC_UA"", ""data_quality""]","[""manufacturers"", ""system integrators"", ""industrial data teams"", ""plant managers""]",5,5,5,5,5,5,5,3,3,1,high,"[""opcfoundation_opcua"", ""sparkplug"", ""unified_namespace""]"
opp_brownfield_connector_marketplace,Brownfield machine connector marketplace,Integration opportunity,51.0,"Brownfield factories are full of legacy PLCs, machines and proprietary protocols. A verified connector marketplace with templates, drivers, test harnesses and integrator reviews can reduce IT/OT integration cost.","[""brownfield_integration_gap"", ""industrial_connectivity_layer"", ""kepware_node"", ""inductive_ignition_node"", ""litmus_node"", ""highbyte_node""]","[""brownfield"", ""connectors"", ""protocols""]","[""manufacturers"", ""integrators"", ""machine builders"", ""industrial software vendors""]",5,5,5,5,4,5,5,4,3,2,medium,"[""opcfoundation_opcua"", ""kepware"", ""rockwell_factorytalk""]"
opp_ai_ready_factory_score,AI-ready factory score and remediation engine,Industrial AI + data/visibility,91.2,"Industrial AI fails without data quality, asset models, connectivity, security and operator trust. A score/remediation engine can tell plants exactly what blocks AI deployment and what to fix first.","[""industrial_ai_layer"", ""industrial_ai_trust_gap"", ""industrial_data_quality_gap"", ""industrial_ontology"", ""ot_cybersecurity_layer""]","[""AI_readiness"", ""data_quality"", ""OT_security"", ""ontology""]","[""manufacturers"", ""AI vendors"", ""consultancies"", ""industrial cloud providers""]",5,5,5,5,5,5,5,3,3,1,high,"[""siemens_xcelerator"", ""palantir_aip"", ""cognite""]"
opp_simulation_to_mes_bridge,Simulation-to-MES bridge for validated production change,Industrial software + simulation,37.3,"Simulation is powerful but often disconnected from the shop floor. A bridge from simulation/digital-twin outputs into MES, recipes, work instructions and change-control can create high-value industrial workflow software.","[""simulation_to_shopfloor_gap"", ""cae_simulation_layer"", ""digital_twin_layer"", ""mes_mom_layer"", ""industrial_change_management_gap""]","[""simulation"", ""MES"", ""digital_twin"", ""change_control""]","[""aerospace suppliers"", ""automotive plants"", ""industrial engineering teams"", ""defence manufacturing""]",5,4,5,5,4,5,5,4,4,2,medium,"[""dassault_3dexperience"", ""siemens_xcelerator"", ""nvidia_omniverse""]"
opp_plc_change_control,PLC and machine-parameter change-control vault,OT governance,39.8,"PLC code, recipes and machine parameters often change without strong unified audit, rollback and impact analysis. A vendor-neutral change-control vault is accessible and painful.","[""plc_control_layer"", ""industrial_change_management_gap"", ""ot_cybersecurity_layer"", ""rockwell_factorytalk_node"", ""codesys_node""]","[""PLC"", ""change_control"", ""audit"", ""rollback""]","[""manufacturers"", ""integrators"", ""regulated plants"", ""OT security teams""]",5,4,5,5,4,5,5,3,4,1,medium,"[""rockwell_factorytalk"", ""codesys"", ""isa_iec_62443""]"
opp_frontline_to_digital_thread,Frontline-to-digital-thread work instruction platform,Frontline operations + traceability,55.2,"Operators and technicians generate real evidence, deviations, fixes and tribal knowledge. Connecting frontline work instructions to PLM/MES/quality records can close digital-thread gaps without replacing big systems.","[""industrial_frontline_layer"", ""digital_thread_breakage"", ""quality_traceability_layer"", ""tulip_node"", ""maintainx_node""]","[""frontline"", ""work_instructions"", ""traceability"", ""quality""]","[""aerospace SMEs"", ""medical device manufacturers"", ""defence suppliers"", ""regulated manufacturing""]",4,4,5,5,5,5,5,3,3,1,high,"[""tulip"", ""maintainx"", ""dassault_3dexperience"", ""ptc_products""]"
opp_ot_asset_intelligence_for_procurement,OT asset intelligence for procurement and cyber insurance,Data/visibility + security,28.6,"OT asset data is valuable beyond security: procurement, lifecycle planning, insurance, maintenance and modernization. A normalized asset intelligence layer can sit on top of security discovery tools.","[""ot_cyber_visibility_gap"", ""claroty_node"", ""dragos_node"", ""nozomi_node"", ""armis_node"", ""maintenance_reliability_layer""]","[""OT_assets"", ""cyber_insurance"", ""procurement"", ""lifecycle""]","[""manufacturers"", ""insurers"", ""procurement teams"", ""OT security teams""]",5,4,5,4,4,5,5,4,4,1,medium,"[""claroty"", ""dragos"", ""nozomi"", ""armis""]"
opp_factory_energy_digital_twin,Machine-level energy and emissions digital twin,Sustainability + industrial software,38.5,"Factories need energy visibility at asset/line/product level. A machine-level energy/emissions twin can connect meters, machines, work orders and product carbon reporting.","[""factory_energy_visibility_gap"", ""digital_twin_layer"", ""industrial_dataops_layer"", ""schneider_ecostruxure_node"", ""abb_ability_node""]","[""energy"", ""emissions"", ""digital_twin"", ""DataOps""]","[""manufacturers"", ""energy managers"", ""industrial sites"", ""ESG teams""]",5,4,5,5,4,5,5,4,3,2,medium,"[""schneider_ecostruxure"", ""abb_ability"", ""siemens_xcelerator""]"
opp_industrial_vendor_lockin_translator,Industrial vendor-lock-in translator and migration assistant,Substitution + integration,27.3,"Factories struggle to migrate between vendor stacks because tags, recipes, screens, PLC code, reports and histories are trapped. A translator/migration assistant can reduce switching friction.","[""vendor_lockin_gap"", ""industrial_connectivity_layer"", ""scada_hmi_layer"", ""mes_mom_layer"", ""digital_thread""]","[""migration"", ""vendor_lockin"", ""connectivity""]","[""manufacturers"", ""integrators"", ""modernization teams"", ""industrial software vendors""]",5,4,5,4,4,5,5,5,3,2,medium,"[""opcfoundation_opcua"", ""rockwell_factorytalk"", ""siemens_xcelerator""]"
opp_industrial_opportunity_engine,Industrial software opportunity engine for founders and investors,Data/visibility,56.5,"This cross-cutting layer exposes where AI, defence, aerospace and manufacturing all hit the same bottlenecks: data context, traceability, compliance, OT security, simulation-to-shopfloor and supplier visibility.","[""industrial_software_ot_stack"", ""eu_ai_stack_ref"", ""european_defence_stack_ref"", ""global_aerospace_stack_ref"", ""global_ai_stack_ref""]","[""market_intelligence"", ""opportunity_extraction"", ""dependency_graph""]","[""founders"", ""VCs"", ""corporates"", ""public agencies""]",5,4,4,5,5,5,5,3,2,1,high,"[""siemens_xcelerator"", ""dassault_3dexperience"", ""isa_iec_62443"", ""opcfoundation_opcua""]"
