id,name,type,country,region,sector,strategic_role,description,sovereignty_score,criticality,market_importance,france_or_eu_fit,color,confidence,tags,sources,fact_status
industrial_software_ot_stack,Industrial Software / OT Stack,sector_view,Global,Global,"[""industrial software"", ""OT""]",Top-level strategic view,"Cross-cutting industrial software, OT, automation, simulation and data stack extracted from AI, defence, aerospace and manufacturing realities.",3,5,5,5,blue,"[""view""]",[],[],known
cad_cam_layer,CAD / CAM Layer,capability_layer,Global,Global,"[""CAD"", ""CAM""]",Design-to-manufacturing layer,"Mechanical design, manufacturing programming, NC/CNC, tooling, product geometry and engineering authoring.",2,5,5,5,orange,"[""CAD"", ""CAM""]",[],[],known
cae_simulation_layer,CAE / Simulation Layer,capability_layer,Global,Global,"[""CAE"", ""simulation""]",Virtual testing layer,"Physics simulation, systems simulation, finite element analysis, CFD, electromagnetic simulation and virtual validation.",2,5,5,5,orange,"[""simulation""]",[],[],known
plm_alm_mbse_layer,PLM / ALM / MBSE Layer,capability_layer,Global,Global,"[""PLM"", ""ALM"", ""MBSE""]",Digital thread and requirements layer,"Requirements, product lifecycle, bill of materials, configuration, change management, ALM and model-based systems engineering.",2,5,5,5,orange,"[""PLM"", ""ALM"", ""MBSE""]",[],[],known
mes_mom_layer,MES / MOM Layer,capability_layer,Global,Global,"[""MES"", ""MOM""]",Manufacturing execution layer,"Work orders, production execution, quality, traceability, genealogy, shop-floor performance and manufacturing operations management.",2,5,5,5,red,"[""MES"", ""MOM""]",[],[],known
scada_hmi_layer,SCADA / HMI Layer,capability_layer,Global,Global,"[""SCADA"", ""HMI""]",Plant visualization and control layer,"Supervisory control, operator interfaces, alarms, historian connections and plant applications.",2,5,5,5,red,"[""SCADA"", ""HMI""]",[],[],known
plc_control_layer,PLC / Control Runtime Layer,capability_layer,Global,Global,"[""PLC"", ""control""]",Machine-control layer,"PLCs, industrial controllers, runtime systems, motion control, safety systems and control programming.",2,5,5,5,red,"[""PLC"", ""control""]",[],[],known
industrial_connectivity_layer,Industrial Connectivity Layer,capability_layer,Global,Global,"[""OPC UA"", ""MQTT"", ""connectivity""]",OT interoperability layer,"Protocol gateways, OPC UA, MQTT/Sparkplug, fieldbus bridges and IT/OT connectivity.",2,5,5,5,red,"[""connectivity"", ""OPC_UA"", ""MQTT""]",[],[],known
industrial_dataops_layer,Industrial DataOps / Contextualization Layer,capability_layer,Global,Global,"[""DataOps"", ""contextualization""]",Industrial data context layer,"Time-series data, asset models, semantic context, namespace, event streams and operational data products.",2,5,5,5,orange,"[""DataOps"", ""UNS""]",[],[],known
digital_twin_layer,Digital Twin / Virtual Twin Layer,capability_layer,Global,Global,"[""digital twin""]",Virtual-physical synchronization layer,"Virtual twins of products, plants, lines, assets, buildings and operational systems.",3,5,5,5,orange,"[""digital_twin""]",[],[],known
industrial_ai_layer,Industrial AI / Agent Layer,capability_layer,Global,Global,"[""AI"", ""agents""]",AI decision-support and automation layer,"Industrial copilots, optimization agents, anomaly detection, predictive maintenance, planning and engineering automation.",2,5,5,5,orange,"[""AI"", ""agents""]",[],[],known
ot_cybersecurity_layer,OT Cybersecurity Layer,capability_layer,Global,Global,"[""OT cybersecurity""]",Cyber-physical security layer,"Asset discovery, network monitoring, vulnerability management, segmentation, incident response and IEC 62443 evidence.",2,5,5,5,red,"[""OT_security""]",[],[],known
industrial_cloud_edge_layer,Industrial Cloud / Edge Layer,capability_layer,Global,Global,"[""edge"", ""cloud""]",Edge-to-cloud infrastructure layer,"Industrial edge compute, cloud IoT, device management, edge workloads and data pipelines.",2,5,5,5,orange,"[""edge"", ""cloud""]",[],[],known
erp_supply_chain_layer,ERP / Supply Chain Integration Layer,capability_layer,Global,Global,"[""ERP"", ""supply chain""]",Business integration layer,"ERP, supply chain planning, procurement, production planning and enterprise-to-shop-floor integration.",2,5,5,5,orange,"[""ERP"", ""SCM""]",[],[],known
maintenance_reliability_layer,Maintenance / Reliability Layer,capability_layer,Global,Global,"[""maintenance"", ""reliability""]",Asset performance layer,"CMMS, EAM, predictive maintenance, asset performance, work orders and reliability analytics.",2,5,5,5,orange,"[""maintenance"", ""reliability""]",[],[],known
industrial_standards_layer,Industrial Standards / Governance Layer,standard_layer,Global,Global,"[""standards""]",Interoperability and security standards layer,"ISA/IEC 62443, ISA-95, OPC UA, MQTT Sparkplug and governance patterns that make industrial data portable and secure.",4,5,5,5,blue,"[""standards""]",[],[],known
industrial_frontline_layer,Frontline Operations / Worker Layer,capability_layer,Global,Global,"[""frontline operations""]",Human operations layer,"Work instructions, operator guidance, inspections, remote assistance, training, EHS and frontline apps.",2,4,5,5,orange,"[""frontline""]",[],[],known
industrial_lowcode_apps_layer,Industrial Low-Code / App Layer,capability_layer,Global,Global,"[""low-code"", ""apps""]",Rapid industrial apps layer,"Low-code apps, dashboards, workflows, forms and data-driven plant applications.",2,4,5,5,orange,"[""low_code""]",[],[],known
