id,name,type,country,region,sector,strategic_role,description,sovereignty_score,criticality,market_importance,france_or_eu_fit,color,confidence,tags,sources,fact_status
global_ai_stack,Global AI Stack,sector_view,Global,Global,"[""AI""]",Top-level strategic view,"The worldwide AI stack: models, cloud, compute, chips, data, distribution, tooling, regulation and opportunity signals.",2,5,5,4,blue,"[""view"", ""global""]",[],[],known
frontier_model_layer,Frontier Model Layer,capability_layer,,Global,"[""AI models""]",Foundation/frontier model layer,Closed and open-weight frontier model providers.,1,5,5,4,red,"[""models"", ""frontier""]",[],[],known
ai_cloud_platform_layer,AI Cloud / Model Platform Layer,capability_layer,,Global,"[""cloud"", ""AI platform""]",Cloud AI application layer,"Cloud platforms hosting models, agents, guardrails, enterprise AI APIs and managed infrastructure.",1,5,5,4,red,"[""cloud"", ""platform""]",[],[],known
gpu_compute_layer,GPU / Accelerator Compute Layer,capability_layer,,Global,"[""AI infrastructure"", ""chips""]",Compute bottleneck layer,"High-end GPUs, accelerators, AI superclusters and AI-specific cloud capacity.",1,5,5,5,red,"[""compute"", ""bottleneck""]",[],[],known
chip_supply_chain_layer,Advanced Chip Supply Chain,capability_layer,,Global,"[""chips"", ""semiconductor""]",Semiconductor dependency layer,"AI accelerators depend on HBM, foundries, lithography, packaging, networking and export controls.",1,5,5,5,red,"[""chips"", ""supply_chain""]",[],[],known
ai_data_center_energy_layer,AI Data Center / Energy Layer,capability_layer,,Global,"[""data center"", ""energy""]",Physical AI infrastructure layer,"Power, cooling, land, networking and grid connection for AI data centers and AI factories.",1,5,5,5,red,"[""data_center"", ""energy""]",[],[],known
model_distribution_layer,Model Distribution / Registry Layer,software_platform,,Global,"[""AI software supply chain""]",Model/dataset registry layer,"Model hubs, package registries and distribution paths for open models, datasets and AI artifacts.",2,5,5,4,orange,"[""model_hub"", ""supply_chain""]",[],[],known
ai_serving_inference_layer,AI Serving / Inference Runtime Layer,software_platform,,Global,"[""AI infrastructure""]",Model serving runtime layer,"Software that determines latency, throughput, cost and deployment reliability.",2,5,5,5,orange,"[""serving"", ""inference""]",[],[],known
ai_tooling_observability_layer,AI Tooling / Observability Layer,software_platform,,Global,"[""MLOps"", ""AI platform""]",Operations layer,"Training orchestration, observability, evaluation, experiment tracking, deployment, monitoring and governance.",2,4,5,5,orange,"[""MLOps"", ""observability""]",[],[],known
ai_safety_governance_layer,AI Safety / Governance / Compliance,capability_layer,,Global,"[""regulation"", ""security""]",Safety/regulatory layer,"Regulation, model risk management, security, compliance, evaluation, audit and policy constraints.",3,5,5,5,blue,"[""safety"", ""governance""]",[],[],known
training_data_layer,Training Data / Data Rights Layer,capability_layer,,Global,"[""data""]",Data layer,"High-quality data, proprietary datasets, synthetic data, licensing, privacy and data governance.",2,5,5,5,orange,"[""data"", ""rights""]",[],[],known
enterprise_buyer_layer,Enterprise Buyer / Workflow Layer,capability_layer,,Global,"[""enterprise AI""]",Demand layer,"Enterprises and governments adopting AI inside workflows: productivity, software, legal, finance, manufacturing, defense, healthcare.",3,5,5,5,blue,"[""buyers"", ""enterprise""]",[],[],known
us_ai_ecosystem,US AI Ecosystem,region_cluster,United States,North America,"[""AI""]",Dominant frontier AI cluster,"US-based model labs, hyperscalers, chips, AI clouds and enterprise platforms.",2,5,5,3,blue,"[""US""]",[],[],known
china_ai_ecosystem,China AI Ecosystem,region_cluster,China,Asia,"[""AI""]",Large independent AI ecosystem,"Chinese model companies, cloud platforms, domestic AI accelerators and state/consumer deployment.",3,5,5,2,blue,"[""China""]",[],[],known
eu_ai_ecosystem,European AI Ecosystem,region_cluster,EU/Europe,Europe,"[""AI""]",Sovereignty-driven AI ecosystem,"European model companies, AI Factories, sovereign cloud and regulation-driven adoption.",4,5,4,5,green,"[""Europe"", ""EU""]",[],[],known
middle_east_ai_ecosystem,Middle East AI Ecosystem,region_cluster,Gulf,Middle East,"[""AI infrastructure""]",Capital-and-energy-backed AI ecosystem,"Gulf AI infrastructure, sovereign funds, AI cloud ambitions and Arabic-language model opportunity.",3,4,4,3,blue,"[""Middle_East"", ""capital"", ""energy""]",[],[],known
canada_ai_ecosystem,Canadian AI Ecosystem,region_cluster,Canada,North America,"[""AI""]",Enterprise/private AI cluster,Cohere and research/enterprise AI ecosystem.,3,4,4,3,blue,"[""Canada""]",[],[],known
openai,OpenAI,company,United States,North America,"[""foundation models"", ""AI platform""]",Frontier model/API/enterprise AI platform,"Frontier models, ChatGPT, API platform, enterprise AI, Codex and agentic workflows.",1,5,5,3,red,high,"[""US"", ""closed_model"", ""API""]","[""openai_business""]",known
anthropic,Anthropic / Claude,company,United States,North America,"[""foundation models"", ""AI safety""]",Claude model/API/enterprise platform,"Claude models, Claude Code, enterprise/government/industry solutions and API platform.",1,5,5,3,red,high,"[""US"", ""closed_model"", ""API"", ""safety""]","[""anthropic_claude""]",known
google_deepmind,Google DeepMind / Gemini,company,United States/UK,Global,"[""foundation models"", ""cloud""]",Gemini model family and research lab,Gemini models integrated into Google ecosystem and cloud AI platform.,1,5,5,3,red,high,"[""US"", ""UK"", ""closed_model"", ""cloud""]","[""google_vertex_gemini""]",known
meta_ai,Meta AI / Llama,company,United States,North America,"[""open-weight models"", ""consumer AI""]",Open-weight model and consumer AI platform,Llama model family and Meta AI assistant ecosystem.,1,5,5,3,orange,medium,"[""US"", ""open_weight"", ""consumer""]","[""meta_llama""]",known
xai,xAI / Grok,company,United States,North America,"[""foundation models"", ""AI platform""]",Grok model/API and supercluster-backed AI lab,"Grok models, unified API and Colossus/supercluster positioning.",1,5,4,2,red,high,"[""US"", ""closed_model"", ""API""]","[""xai""]",known
mistral_ai,Mistral AI,company,France,Europe,"[""foundation models"", ""enterprise AI""]",European frontier AI company,"European model company building frontier models, assistants, agents, services and enterprise AI platform.",4,5,5,5,green,high,"[""France"", ""EU"", ""frontier_model""]","[""mistral""]",known
cohere,Cohere,company,Canada,North America,"[""enterprise AI"", ""models""]",Enterprise AI model/platform company,"Private, secure, customizable enterprise AI with Command, Embed, Rerank, Aya, private deployments and industry solutions.",3,4,4,3,blue,high,"[""Canada"", ""enterprise_ai""]","[""cohere""]",known
deepseek,DeepSeek,company,China,Asia,"[""foundation models"", ""open models""]",Chinese frontier/open model lab,DeepSeek chat/API and open research/model releases including R1/V3/Coder lines.,3,5,4,2,orange,high,"[""China"", ""open_weight"", ""API""]","[""deepseek""]",known
alibaba_qwen,Alibaba Cloud / Qwen,company,China,Asia,"[""foundation models"", ""cloud""]",Qwen model family and Alibaba Cloud platform,"Qwen open-source/multimodal/multilingual model family with Alibaba Cloud deployment, APIs and community links.",3,5,5,2,orange,high,"[""China"", ""cloud"", ""open_weight""]","[""qwen""]",known
baidu_ernie,Baidu AI / ERNIE ecosystem,company,China,Asia,"[""AI platform"", ""foundation models""]",Baidu AI platform and model ecosystem,Baidu AI open platform with AI services and model capabilities.,3,4,4,2,orange,medium,"[""China"", ""cloud"", ""AI_platform""]","[""baidu_ai""]",known
perplexity,Perplexity,company,United States,North America,"[""AI search"", ""enterprise AI""]",AI answer/research/search platform,"Enterprise AI research/search platform over files, web and tools with citation-driven answers and security positioning.",1,4,4,3,orange,high,"[""US"", ""search"", ""enterprise_ai""]","[""perplexity_enterprise""]",known
