id,name,type,country,region,sector,strategic_role,description,sovereignty_score,criticality,market_importance,france_or_eu_fit,color,confidence,tags,sources,fact_status
european_defence_stack,European Defence Stack,sector_view,EU/Europe,Europe,"[""defence"", ""sovereignty""]",Top-level strategic view,"Public-source map of European defence industry, capability layers, bottlenecks and opportunity zones.",4,5,5,5,blue,"[""view"", ""defence""]",[],[],known
policy_funding_layer,Policy / Funding / Procurement Layer,capability_layer,EU/Europe,Europe,"[""policy"", ""funding""]",Institutional demand layer,"EU, NATO and national funding/procurement structures shaping defence demand.",4,5,5,5,blue,"[""policy"", ""funding""]",[],[],known
defence_prime_layer,Defence Prime Layer,capability_layer,EU/Europe,Europe,"[""prime contractors""]",Industrial integrator layer,Major European defence primes and system integrators.,4,5,5,5,green,"[""primes""]",[],[],known
land_systems_layer,Land Systems Layer,capability_layer,EU/Europe,Europe,"[""land systems""]","Armoured vehicles, artillery and land platforms","Tanks, armoured vehicles, artillery, ground robotics and land platform modernization.",4,5,5,5,orange,"[""land"", ""vehicles""]",[],[],known
air_combat_layer,Air Combat Layer,capability_layer,EU/Europe,Europe,"[""air combat""]",Combat aircraft and collaborative air systems,"Combat aircraft, FCAS/SCAF, Eurofighter, Rafale, air combat cloud and loyal wingman concepts.",4,5,5,5,orange,"[""air"", ""FCAS""]",[],[],known
naval_systems_layer,Naval Systems Layer,capability_layer,EU/Europe,Europe,"[""naval""]",Surface/subsurface naval systems,"Surface combatants, submarines, naval combat systems, maritime surveillance and lifecycle support.",4,5,5,5,green,"[""naval""]",[],[],known
missiles_air_defence_layer,Missiles / Air Defence Layer,capability_layer,EU/Europe,Europe,"[""missiles"", ""air defence""]",Precision effects and air defence,"Missiles, interceptors, air defence, deep strike and force protection systems.",3,5,5,5,orange,"[""missiles"", ""air_defence""]",[],[],known
c4isr_sensors_layer,C4ISR / Sensors Layer,capability_layer,EU/Europe,Europe,"[""C4ISR"", ""sensors""]",Information superiority layer,"Command, control, communications, computers, intelligence, surveillance, reconnaissance, sensors and battlefield management.",3,5,5,5,orange,"[""C4ISR"", ""sensors""]",[],[],known
cyber_ew_layer,Cyber / Electronic Warfare Layer,capability_layer,EU/Europe,Europe,"[""cyber"", ""electronic warfare""]",Cyber-resilience and spectrum layer,"Cybersecurity, electronic warfare, signals intelligence, spectrum monitoring, secure systems and resilience.",3,5,5,5,orange,"[""cyber"", ""EW""]",[],[],known
space_secure_connectivity_layer,Space / Secure Connectivity Layer,capability_layer,EU/Europe,Europe,"[""space"", ""satcom""]",Space-enabled defence infrastructure,"Satcom, ISR, navigation, PRS, secure connectivity, space situational awareness and maritime RF intelligence.",4,5,5,5,blue,"[""space"", ""satcom""]",[],[],known
drones_autonomy_layer,Drones / Autonomy Layer,capability_layer,EU/Europe,Europe,"[""drones"", ""autonomy""]",Robotics and autonomy layer,"Uncrewed aerial systems, ground robotics, autonomous ISR, counter-UAS and autonomy software.",3,5,5,5,orange,"[""drones"", ""robotics"", ""autonomy""]",[],[],known
ammo_energetics_layer,Ammunition / Energetics Layer,capability_layer,EU/Europe,Europe,"[""ammunition"", ""energetics""]",Mass and sustainment layer,"Munitions, propellants, explosives, energetics, missile motors and production capacity.",2,5,5,5,red,"[""ammunition"", ""supply_chain""]",[],[],known
industrial_supply_chain_layer,Industrial Supply Chain Layer,capability_layer,EU/Europe,Europe,"[""supply chain""]",Industrial bottleneck layer,"Components, semiconductors, machine tools, raw materials, workforce, certification, test ranges and production ramp-up.",2,5,5,5,red,"[""supply_chain"", ""bottleneck""]",[],[],known
simulation_training_layer,Simulation / Training Layer,capability_layer,EU/Europe,Europe,"[""simulation"", ""training""]",Synthetic environment layer,"Simulation, digital twins, training systems, mission rehearsal and test/evaluation tooling.",3,4,4,5,orange,"[""simulation"", ""training""]",[],[],known
defence_ai_software_layer,Defence AI / Software Layer,capability_layer,EU/Europe,Europe,"[""AI"", ""software""]",Software-defined defence layer,"AI, data fusion, autonomy, targeting assistance, battle management, secure deployment and decision support.",3,5,5,5,orange,"[""AI"", ""software"", ""dual_use""]",[],[],known
dg_defis,DG DEFIS,government_agency,EU,Europe,"[""policy""]",EU Defence Industry and Space directorate,European Commission directorate for defence industry and space.,5,5,5,5,blue,high,"[""EU"", ""policy""]","[""edis"", ""edf""]",known
edis,European Defence Industrial Strategy,official_strategy,EU,Europe,"[""policy"", ""strategy""]",EU industrial strategy to 2035,"First-ever European Defence Industrial Strategy: strengthens EDTIB, readiness and European collaboration.",5,5,5,5,blue,high,"[""EU"", ""strategy""]","[""edis""]",known
edf,European Defence Fund,funding_program,EU,Europe,"[""funding"", ""R&D""]",EU defence R&D funding instrument,EU fund supporting collaborative defence research and capability development.,5,5,5,5,blue,high,"[""EU"", ""funding""]","[""edf""]",known
edip,European Defence Industry Programme,funding_program,EU,Europe,"[""funding"", ""procurement""]",EU defence industrial programme,Programme framework for strengthening EU defence industrial readiness and joint procurement.,5,5,5,5,blue,medium,"[""EU"", ""funding""]","[""edip""]",known
eudis,EU Defence Innovation Scheme,funding_program,EU,Europe,"[""innovation"", ""SME""]",EU defence innovation scheme,"Innovation support for disruptive defence technologies, startups and SMEs.",5,4,4,5,blue,high,"[""EU"", ""innovation"", ""SME""]","[""eudis"", ""edf""]",known
eda,European Defence Agency,government_agency,EU,Europe,"[""defence cooperation""]",EU defence cooperation agency,Agency supporting capability development and collaboration among member states.,5,5,5,5,blue,medium,"[""EU"", ""coordination""]","[""eda"", ""card""]",known
