from,to,type,dependency_category,reason,dependency_risk,criticality,replaceability,time_to_substitute,color,confidence,sources,fact_status,tags
eu_ai_stack,ai_compute,contains,compute,AI compute is a core layer of the EU AI stack.,4,5,2,long,red,high,"[""eu_ai_factories_policy""]",known,[]
eu_ai_stack,ai_factories_network,contains,public_compute,AI Factories are the public compute and support backbone for EU AI startups/SMEs and users.,2,5,4,medium,green,high,"[""eu_ai_factories_policy"", ""eurohpc_ai_factories""]",known,[]
eu_ai_stack,sovereign_cloud,contains,cloud,Sovereign cloud is a critical deployment/control layer for EU AI.,4,5,3,medium,orange,high,"[""ovh_sovereign"", ""aws_sovereign"", ""microsoft_sovereign""]",known,[]
eu_ai_stack,ai_compliance,contains,regulation,Regulation and compliance shape deployment of AI in the EU.,3,5,3,medium,blue,high,"[""eu_ai_act""]",known,[]
eu_ai_stack,semiconductor_manufacturing,contains,chips,AI accelerators depend on semiconductor manufacturing and lithography supply chains.,5,5,1,long,red,high,"[""tsmc"", ""asml"", ""eu_chips_act""]",known,[]
eu_ai_stack,cloud_native_ai_platform,contains,software,Cloud-native and MLOps tooling determine AI infrastructure usability.,3,5,3,medium,orange,medium,"[""kubernetes"", ""vllm"", ""cloud_hpc_divide_paper""]",known,[]
european_commission,ai_factories_network,funded_by,public_program,The Commission supports AI Factories through EuroHPC/JU policy and funding architecture.,1,5,5,long,blue,high,"[""eu_ai_factories_policy""]",known,[]
european_commission,investai_facility,funded_by,public_program,The Commission's InvestAI facility supports AI Gigafactories.,1,5,5,long,blue,high,"[""eu_ai_factories_policy"", ""eu_ai_gigafactories""]",known,[]
european_commission,eu_ai_act_node,regulated_by,regulation,The AI Act is the EU AI regulatory framework.,1,5,5,long,blue,high,"[""eu_ai_act""]",known,[]
european_commission,eu_chips_act_node,funded_by,chips_policy,European Chips Act is an EU strategic policy node for semiconductor resilience.,1,5,5,long,blue,high,"[""eu_chips_act""]",known,[]
eurohpc_ju,ai_factories_network,operates,public_compute,EuroHPC JU provides access to computing time and support services offered by AI Factories.,1,5,5,long,blue,high,"[""eu_ai_factories_policy"", ""eurohpc_ai_factories""]",known,[]
european_ai_office,eu_ai_act_node,coordinates,regulation,European AI Office collaborates on AI Act / AI ecosystem coordination.,1,4,4,medium,blue,medium,"[""eu_ai_factories_policy"", ""eu_ai_act""]",known,[]
investai_facility,ai_gigafactories,funded_by,public_private_infra,InvestAI supports up to five AI Gigafactories.,2,5,3,long,blue,high,"[""eu_ai_factories_policy"", ""eu_ai_gigafactories""]",known,[]
ai_gigafactories,gpu_accelerators,depends_on,compute,AI Gigafactories require large-scale advanced AI processors.,5,5,2,long,red,high,"[""eu_ai_factories_policy"", ""eu_ai_gigafactories""]",known,[]
ai_gigafactories,energy_power_capacity,depends_on,energy,AI Gigafactories require high power capacity and energy efficiency.,5,5,2,long,red,high,"[""eu_ai_factories_policy"", ""eu_ai_gigafactories""]",known,[]
ai_gigafactories,data_centers,depends_on,physical_infrastructure,AI Gigafactories are large-scale compute facilities requiring data center infrastructure.,5,5,2,long,red,high,"[""eu_ai_gigafactories""]",known,[]
ai_factories_network,ai2f_france,contains,public_compute,ai2f_france is listed as part of the EuroHPC AI Factories network.,1,4,5,long,green,high,"[""eurohpc_ai2f_press""]",known,[]
ai_factories_network,lumi_aif,contains,public_compute,lumi_aif is listed as part of the EuroHPC AI Factories network.,1,4,5,long,green,high,"[""eu_ai_factories_policy"", ""eurohpc_ai_systems""]",known,[]
ai_factories_network,jaif_germany,contains,public_compute,jaif_germany is listed as part of the EuroHPC AI Factories network.,1,4,5,long,green,high,"[""eu_ai_factories_policy"", ""eurohpc_ai2f_press""]",known,[]
ai_factories_network,hammerhai_germany,contains,public_compute,hammerhai_germany is listed as part of the EuroHPC AI Factories network.,1,4,5,long,green,high,"[""eu_ai_factories_policy""]",known,[]
