source_id,title,url,type,notes
edis,European Commission — EDIS | Our common defence industrial strategy,https://defence-industry-space.ec.europa.eu/eu-defence-industry/edis-our-common-defence-industrial-strategy_en,official_strategy,"EDIS sets a vision for European defence industrial policy until 2035 and emphasizes strengthening EDTIB, readiness, collaborative investment and strategic partnerships."
edf,European Commission — European Defence Fund,https://defence-industry-space.ec.europa.eu/eu-defence-industry/european-defence-fund-edf-official-webpage-european-commission_en,official_funding,EDF supports collaborative defence research and development across EU member states; nearly €7.3B budget for 2021-2027.
edip,European Commission — EDIP | Forging Europe's Defence,https://defence-industry-space.ec.europa.eu/eu-defence-industry/edip-future-defence-investment_en,official_policy,European Defence Industry Programme policy context; may need enrichment when final regulation/source page is stable.
eda,European Defence Agency,https://eda.europa.eu/,official_agency,"European Defence Agency coordinates capability development, defence research, training and collaborative defence initiatives."
card,European Defence Agency — Coordinated Annual Review on Defence,https://eda.europa.eu/what-we-do/all-activities/activities-search/coordinated-annual-review-on-defence-(card),official_assessment,CARD monitors European defence capability landscape and collaboration opportunities.
eudis,EUDIS — EU Defence Innovation Scheme,https://eudis.europa.eu/,official_innovation,"EU defence innovation scheme supporting startups, SMEs and disruptive defence technologies."
pesco,PESCO — Permanent Structured Cooperation,https://www.pesco.europa.eu/,official_program,EU framework for defence cooperation projects among member states.
occar,OCCAR — Organisation for Joint Armament Cooperation,https://www.occar.int/,official_program_management,European joint armament programme management organization.
nato_diana,NATO DIANA,https://www.diana.nato.int/,official_innovation,NATO Defence Innovation Accelerator for the North Atlantic.
france_dga,Direction générale de l'armement — DGA,https://www.defense.gouv.fr/dga,official_procurement,French armament procurement and technology agency.
aid_france,Agence de l'innovation de défense,https://www.defense.gouv.fr/aid,official_innovation,French Defence Innovation Agency.
france2030,France 2030,https://www.info.gouv.fr/grand-dossier/france-2030-en/understanding-france-2030,official_public_program,"French strategic investment plan, useful for dual-use industrial/technology lens."
airbus_defence,Airbus — Defence,https://www.airbus.com/en/products-services/defence,company_official,"Airbus defence portfolio includes military aircraft, UAS, FCAS, military space, connectivity, intelligence/data and Multi-Domain Combat Cloud."
airbus_space,Airbus — Space,https://www.airbus.com/en/products-services/space,company_official,Airbus space portfolio.
thales_defence,Thales — Defence and Security,https://www.thalesgroup.com/en/markets/defence-and-security,company_official,"Thales defence/security portfolio; sensors, cybersecurity, communications, C4ISR, avionics, space and naval systems."
leonardo_defence,Leonardo — Defence & Security,https://www.leonardo.com/en/markets/defence-security,company_official,"Leonardo defence/security portfolio: aircraft, helicopters, electronics, sensors, space and cyber/security."
