id,name,type,country,region,sector,strategic_role,description,sovereignty_score,criticality,market_importance,france_or_eu_fit,color,confidence,tags,sources,fact_status
global_aerospace_stack,Global Aerospace Stack,sector_view,Global,Global,"[""aerospace""]",Top-level strategic view,"Global aerospace strategic dependency graph across aircraft, engines, space, regulation, suppliers, MRO and opportunity zones.",2,5,5,4,blue,"[""view""]",[],[],known
airframer_layer,Airframer / OEM Layer,capability_layer,Global,Global,"[""aircraft OEM""]",Aircraft OEM layer,"Commercial, business, defence and regional aircraft manufacturers.",2,5,5,4,orange,"[""OEM"", ""airframes""]",[],[],known
engine_propulsion_layer,Engine / Propulsion Layer,capability_layer,Global,Global,"[""engines""]",Aircraft engine and propulsion layer,"Turbofan, turboprop, rotorcraft, launch and future propulsion systems.",2,5,5,5,red,"[""engines"", ""propulsion""]",[],[],known
aerostructures_materials_layer,Aerostructures / Materials Layer,capability_layer,Global,Global,"[""structures"", ""materials""]",Structures and materials layer,"Fuselage, wings, composite structures, forgings, castings, titanium, aluminum and advanced materials.",2,5,5,5,red,"[""structures"", ""materials""]",[],[],known
avionics_flight_systems_layer,Avionics / Flight Systems Layer,capability_layer,Global,Global,"[""avionics"", ""flight controls""]",Flight software/electronics layer,"Avionics, cockpit systems, flight controls, navigation, communication, sensors and software assurance.",2,5,5,5,orange,"[""avionics"", ""software""]",[],[],known
landing_gear_actuation_layer,Landing Gear / Actuation Layer,capability_layer,Global,Global,"[""landing gear"", ""actuation""]",Mechanical systems layer,"Landing gear, braking, hydraulic, electrical, actuation and motion-control systems.",3,4,4,4,orange,"[""landing_gear"", ""actuation""]",[],[],known
cabin_interiors_layer,Cabin / Interiors Layer,capability_layer,Global,Global,"[""interiors""]",Cabin systems and passenger experience layer,"Seats, cabin systems, galleys, lavatories, connectivity and passenger experience equipment.",3,3,4,3,orange,"[""interiors""]",[],[],known
mro_aftermarket_layer,MRO / Aftermarket Layer,capability_layer,Global,Global,"[""MRO"", ""aftermarket""]",Maintenance and lifecycle layer,"Engine shop visits, spares, repairs, component maintenance, line maintenance, predictive maintenance and lifecycle services.",2,5,5,5,red,"[""MRO"", ""aftermarket""]",[],[],known
certification_regulation_layer,Certification / Regulation Layer,capability_layer,Global,Global,"[""certification"", ""regulation""]",Safety and approval layer,"Type certification, continued airworthiness, safety rules, software certification and regulator approval.",4,5,5,5,blue,"[""certification"", ""regulation""]",[],[],known
air_traffic_ops_layer,Air Traffic / Airline Operations Layer,capability_layer,Global,Global,"[""ATM"", ""airline operations""]",Operational airspace layer,"Air traffic management, airline operations, dispatch, flight planning, airport constraints, slots and connectivity.",3,5,5,5,orange,"[""ATM"", ""ops""]",[],[],known
space_launch_layer,Space Launch Layer,capability_layer,Global,Global,"[""space launch""]",Orbital launch layer,"Launch vehicles, launch services, propulsion, pads, range access and mission integration.",2,5,5,5,red,"[""launch"", ""space""]",[],[],known
satellite_space_systems_layer,Satellite / Space Systems Layer,capability_layer,Global,Global,"[""satellites"", ""space systems""]",Satellite manufacturing and operations layer,"Satellites, payloads, satellite buses, space systems, constellations and ground segments.",3,5,5,5,orange,"[""satellite"", ""space""]",[],[],known
sustainable_aviation_layer,Sustainable Aviation Layer,capability_layer,Global,Global,"[""SAF"", ""hydrogen"", ""electric""]",Decarbonisation and future propulsion layer,"SAF, hydrogen, hybrid-electric, electric aircraft, contrails, lightweighting and operational efficiency.",2,5,5,5,orange,"[""sustainability"", ""SAF"", ""hydrogen""]",[],[],known
aerospace_software_data_layer,Aerospace Software / Data Layer,software_platform,Global,Global,"[""software"", ""data""]",Software and data layer,"Digital thread, PLM, simulation, certification evidence, health monitoring, flight data, cybersecurity and operational analytics.",3,5,5,5,orange,"[""software"", ""data""]",[],[],known
aerospace_supply_chain_visibility_layer,Aerospace Supply Chain Visibility Layer,dependency_layer,Global,Global,"[""supply chain""]",Visibility and risk layer,"Multi-tier supplier visibility, lead times, quality escapes, capacity, certification status and geopolitical exposure.",1,5,5,5,red,"[""supply_chain"", ""risk""]",[],[],known
easa,EASA,regulator,EU,Europe,"[""aviation safety""]",European aviation safety regulator,EU aviation safety agency responsible for safety regulation/certification in Europe.,5,5,5,5,blue,high,"[""Europe"", ""regulator""]","[""easa""]",known
faa,FAA,regulator,United States,North America,"[""aviation safety""]",US aviation regulator,US aviation regulator responsible for civil aviation safety and certification.,5,5,5,3,blue,high,"[""US"", ""regulator""]","[""faa""]",known
icao,ICAO,international_body,International,Global,"[""aviation standards""]",Global aviation standards body,International Civil Aviation Organization creates international civil aviation standards and recommended practices.,5,5,5,4,blue,medium,"[""global"", ""standards""]","[""icao""]",known
iata,IATA,industry_body,International,Global,"[""airline operations""]",Airline industry association,"Global airline trade association relevant to airline operations, safety, sustainability and commercial aviation demand.",4,4,5,3,blue,medium,"[""airlines""]","[""iata""]",known
eurocontrol,EUROCONTROL,official_atm,Europe,Europe,"[""air traffic management""]",European ATM organization,European air traffic management organization.,5,5,5,5,blue,medium,"[""Europe"", ""ATM""]","[""eurocontrol""]",known
esa,ESA,official_space_agency,Europe,Europe,"[""space""]",European Space Agency,European space agency and major programme/customer node for space systems.,5,5,5,5,blue,medium,"[""Europe"", ""space""]","[""esa""]",known
nasa,NASA,space_agency,United States,North America,"[""space""]",US space agency,US space agency and major space systems/customer node.,5,5,5,2,blue,medium,"[""US"", ""space""]","[""nasa""]",known
airbus,Airbus,airframer,Europe,Europe,"[""commercial aircraft"", ""defence"", ""space""]",European airframer and aerospace prime,"Commercial aircraft, helicopters, defence and space; designs, builds and supports aircraft.",5,5,5,5,green,high,"[""Europe"", ""France"", ""Germany"", ""Spain"", ""OEM""]","[""airbus_commercial"", ""airbus_defence"", ""airbus_space""]",known
boeing,Boeing,airframer,United States,North America,"[""commercial aircraft"", ""defence"", ""space""]",US airframer and aerospace prime,"Commercial aircraft, defence, space and services.",3,5,5,2,orange,high,"[""US"", ""OEM""]","[""boeing_commercial"", ""boeing_space"", ""boeing_services""]",known
